display,tooltips,purity,complexity,cost,processing,steps,viewBox,recipeIndexes,id
Minecart with Bee House,,1,88931574.18756464,88931133.7971559,440.39040873788355,12,4640 2560,93420,forestry:cart.beehouse:0
Bee House,,1,88929465.3783144,88929462.3783144,3,1,8032 2400,1575,forestry:bee_house:0
Mossy Stone Brick Monster Egg,,1,88922897.4825908,88922894.4825908,3,1,3872 3648,1804,minecraft:monster_egg:3
Dimensional Transceiver,,1,88914515.33312596,5794515.156963809,83120000.17616215,954,5504 1952,97642,enderio:block_transceiver:0
Wyvern Helm,Charge: 2.0M / 2.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,5152 1856,22039 10789,"draconicevolution:wyvern_helm:0:{Energy:2000000,DEUpgrades:{shieldCap:2b}}"
Wyvern Chestplate,Charge: 2.0M / 2.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,4992 1856,22039 10790,"draconicevolution:wyvern_chest:0:{Energy:2000000,DEUpgrades:{shieldCap:2b}}"
Draconic Helm,Charge: 16.0M / 16.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1760 1856,22039 10793,"draconicevolution:draconic_helm:0:{Energy:16000000,DEUpgrades:{shieldCap:2b}}"
Draconic Helm,Charge: 256.0M / 256.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1760 1856,22039 10793,"draconicevolution:draconic_helm:0:{DEUpgrades:{rfCap:3b,shieldCap:2b,shieldRec:3b},Energy:256000000}"
Draconic Chestplate,Charge: 16.0M / 16.0M RF\n§b#Flight,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1600 1856,22039 10794,"draconicevolution:draconic_chest:0:{Energy:16000000,DEUpgrades:{shieldCap:2b}}"
Draconic Chestplate,Charge: 256.0M / 256.0M RF\n§b#Flight,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1600 1856,22039 10794,"draconicevolution:draconic_chest:0:{DEUpgrades:{rfCap:3b,shieldCap:2b,shieldRec:3b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1984 1856,22039 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{shieldCap:2b}}"
Draconic Leggings,Charge: 256.0M / 256.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1984 1856,22039 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:3b,moveSpeed:3b,shieldCap:2b,shieldRec:3b},Energy:256000000}"
Draconic Boots,Charge: 16.0M / 16.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1408 1856,22039 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{shieldCap:2b}}"
Draconic Boots,Charge: 256.0M / 256.0M RF,1,88686309.29200229,26308515.81540153,62377793.47660075,1193,1408 1856,22039 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:3b,jumpBoost:3b,shieldCap:2b,shieldRec:3b},Energy:256000000}"
Wyvern Helm,Charge: 2.0M / 2.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,5152 1856,22030 10789,"draconicevolution:wyvern_helm:0:{Energy:2000000,DEUpgrades:{shieldRec:2b}}"
Wyvern Chestplate,Charge: 2.0M / 2.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,4992 1856,22030 10790,"draconicevolution:wyvern_chest:0:{Energy:2000000,DEUpgrades:{shieldRec:2b}}"
Draconic Helm,Charge: 16.0M / 16.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1760 1856,22030 10793,"draconicevolution:draconic_helm:0:{Energy:16000000,DEUpgrades:{shieldRec:2b}}"
Draconic Helm,Charge: 256.0M / 256.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1760 1856,22030 10793,"draconicevolution:draconic_helm:0:{DEUpgrades:{rfCap:3b,shieldCap:3b,shieldRec:2b},Energy:256000000}"
Draconic Chestplate,Charge: 16.0M / 16.0M RF\n§b#Flight,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1600 1856,22030 10794,"draconicevolution:draconic_chest:0:{Energy:16000000,DEUpgrades:{shieldRec:2b}}"
Draconic Chestplate,Charge: 256.0M / 256.0M RF\n§b#Flight,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1600 1856,22030 10794,"draconicevolution:draconic_chest:0:{DEUpgrades:{rfCap:3b,shieldCap:3b,shieldRec:2b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1984 1856,22030 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{shieldRec:2b}}"
Draconic Leggings,Charge: 256.0M / 256.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1984 1856,22030 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:3b,moveSpeed:3b,shieldCap:3b,shieldRec:2b},Energy:256000000}"
Draconic Boots,Charge: 16.0M / 16.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1408 1856,22030 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{shieldRec:2b}}"
Draconic Boots,Charge: 256.0M / 256.0M RF,1,88669011.2785177,26291217.801916942,62377793.47660075,1193,1408 1856,22030 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:3b,jumpBoost:3b,shieldCap:3b,shieldRec:2b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,88366091.79183787,25734907.66887403,62631184.122963846,1203,1984 1856,22021 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{moveSpeed:2b}}"
Draconic Leggings,Charge: 256.0M / 256.0M RF,1,88366091.79183787,25734907.66887403,62631184.122963846,1203,1984 1856,22021 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:3b,moveSpeed:2b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Draconic Boots,Charge: 16.0M / 16.0M RF,1,87324372.50872858,24946579.032127824,62377793.47660075,1193,1408 1856,22049 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{jumpBoost:2b}}"
Draconic Boots,Charge: 256.0M / 256.0M RF,1,87324372.50872858,24946579.032127824,62377793.47660075,1193,1408 1856,22049 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:3b,jumpBoost:2b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Omni-Directional Connector,,1,87014581.376373,3893025.41987022,83121555.95650277,981,8032 3296,97991 91236 97990,integrateddynamics:part_connector_omni_directional_item:0
Draconic Tool Rod,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,2112 6656,49050 49049,"tconstruct:tool_rod:0:{Material:""draconic_metal""}"
Wide Guard,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,1664 6720,49078 49077,"tconstruct:wide_guard:0:{Material:""draconic_metal""}"
Draconic Binding,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,5408 5184,49054 49053,"tconstruct:binding:0:{Material:""draconic_metal""}"
Draconic Hand Guard,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,2272 5696,49080 49079,"tconstruct:hand_guard:0:{Material:""draconic_metal""}"
Draconic Cross Guard,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,2976 5408,49082 49081,"tconstruct:cross_guard:0:{Material:""draconic_metal""}"
Draconic Knife Blade,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,1856 5856,49094 49093,"tconstruct:knife_blade:0:{Material:""draconic_metal""}"
Draconic Armor Trim,,1,86045677.56841946,29554908.81686303,56490768.751556434,1033,1216 1536,49100 49099,"conarm:armor_trim:0:{Material:""draconic_metal""}"
Draconic Chisel Head,,1,86045675.56841946,29554908.81686303,56490766.751556434,1031,6272 4896,49112 49111,"tcomplement:chisel_head:0:{Material:""draconic_metal""}"
Molten Stellar Alloy,,1,85858846.72472246,488837.85524378956,85370008.86947867,1083,,40656 1229 20602 20603 20604 38671 38926 39053 41713 41843 42375 42640 45598 46507 79217 79218 79219 79220 79221 81943 81945 81946 81947 82023 82079 82080 82081 82082 82083 82084 82085,fluid:stellar_alloy
Draconic Metal Dust,,1,85599169.06860414,29554635.1479005,56044533.92070364,1026,6080 4992,19791 15882 16252 18218 18567 24352,tconevo:metal:6
Draconic Metal Plate,,1,85599169.06860414,29554635.1479005,56044533.92070364,1026,6144 4992,10942 11486 12142 12779 49031,tconevo:metal:8
Draconic Metal Ingot,,1,85599167.06860417,29554634.1479005,56044532.920703664,1025,6048 4992,22069 16578 25508 25810 26046 26092 49029 89853 89862,tconevo:metal:5
Weather Obelisk,,1,85250126.77754119,29612062.457996503,55638064.31954469,949,512 1984,94348,enderio:block_weather_obelisk:0
Awakened Core,,1,83957531.4582049,27913007.53750124,56044523.920703664,1016,608 1856,22058,draconicevolution:awakened_core:0
Wyvern Pipe Piece,,1,83556707.63038892,27065939.878832474,56490767.751556434,1032,1664 4320,49021 49020,"plustic:pipe_piece:0:{Material:""wyvern_metal""}"
Wyvern Boots Core,,1,83556707.63038892,27065939.878832474,56490767.751556434,1032,6752 1568,49017 49016,"conarm:boots_core:0:{Material:""wyvern_metal""}"
Wyvern Helmet Core,,1,83556707.63038892,27065939.878832474,56490767.751556434,1032,4672 1696,49007 49006,"conarm:helmet_core:0:{Material:""wyvern_metal""}"
Sextuple Compressed Dirt,,1,83437401.3214994,83437342.3214994,59,7,6240 32,93573 93574,additionalcompression:dirt_compressed:5
Malachite Essence,,1,83381870.73173212,13004.79960237962,83368865.93212974,663,736 3904,36216 19598 35759 35992,mysticalagriculture:malachite_essence:0
Wyvern Metal Gear,,1,83110196.13057362,27065663.209869944,56044532.92070367,1025,5856 4992,6823 12200 48943,tconevo:metal:4
Draconic Fusion Crafting Injector,,1,82678603.27856897,26634072.3578653,56044530.920703664,1023,896 1856,22052,draconicevolution:crafting_injector:2
Void Metal Essence,,1,82502702.42720981,13004.79960237962,82489697.62760743,675,4576 3904,35805 19648 36145 36271,mysticalagriculture:void_metal_essence:0
Malachite Seeds,,1,82082485.65976068,79205447.90180708,2877037.7579536056,506,768 3904,17071,mysticalagriculture:malachite_seeds:0
Void Metal Seeds,,1,81203317.3552384,78485999.92914377,2717317.426094622,518,4608 3904,17078,mysticalagriculture:void_metal_seeds:0
Wyvern Helm,Charge: 2.0M / 2.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,5152 1856,22038 10789,"draconicevolution:wyvern_helm:0:{Energy:2000000,DEUpgrades:{shieldCap:1b}}"
Wyvern Helm,Charge: 16.0M / 16.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,5152 1856,22038 10789,"draconicevolution:wyvern_helm:0:{DEUpgrades:{rfCap:2b,shieldCap:1b,shieldRec:2b},Energy:16000000}"
Wyvern Chestplate,Charge: 2.0M / 2.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,4992 1856,22038 10790,"draconicevolution:wyvern_chest:0:{Energy:2000000,DEUpgrades:{shieldCap:1b}}"
Wyvern Chestplate,Charge: 16.0M / 16.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,4992 1856,22038 10790,"draconicevolution:wyvern_chest:0:{DEUpgrades:{rfCap:2b,shieldCap:1b,shieldRec:2b},Energy:16000000}"
Draconic Helm,Charge: 16.0M / 16.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1760 1856,22038 10793,"draconicevolution:draconic_helm:0:{Energy:16000000,DEUpgrades:{shieldCap:1b}}"
Draconic Helm,Charge: 256.0M / 256.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1760 1856,22038 10793,"draconicevolution:draconic_helm:0:{DEUpgrades:{rfCap:3b,shieldCap:1b,shieldRec:3b},Energy:256000000}"
Draconic Chestplate,Charge: 16.0M / 16.0M RF\n§b#Flight,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1600 1856,22038 10794,"draconicevolution:draconic_chest:0:{Energy:16000000,DEUpgrades:{shieldCap:1b}}"
Draconic Chestplate,Charge: 256.0M / 256.0M RF\n§b#Flight,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1600 1856,22038 10794,"draconicevolution:draconic_chest:0:{DEUpgrades:{rfCap:3b,shieldCap:1b,shieldRec:3b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1984 1856,22038 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{shieldCap:1b}}"
Draconic Leggings,Charge: 256.0M / 256.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1984 1856,22038 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:3b,moveSpeed:3b,shieldCap:1b,shieldRec:3b},Energy:256000000}"
Draconic Boots,Charge: 16.0M / 16.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1408 1856,22038 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{shieldCap:1b}}"
Draconic Boots,Charge: 256.0M / 256.0M RF,1,80457171.81305951,18079371.336458758,62377800.47660075,1200,1408 1856,22038 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:3b,jumpBoost:3b,shieldCap:1b,shieldRec:3b},Energy:256000000}"
Wyvern Helm,Charge: 2.0M / 2.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,5152 1856,22029 10789,"draconicevolution:wyvern_helm:0:{Energy:2000000,DEUpgrades:{shieldRec:1b}}"
Wyvern Helm,Charge: 16.0M / 16.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,5152 1856,22029 10789,"draconicevolution:wyvern_helm:0:{DEUpgrades:{rfCap:2b,shieldCap:2b,shieldRec:1b},Energy:16000000}"
Wyvern Chestplate,Charge: 2.0M / 2.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,4992 1856,22029 10790,"draconicevolution:wyvern_chest:0:{Energy:2000000,DEUpgrades:{shieldRec:1b}}"
Wyvern Chestplate,Charge: 16.0M / 16.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,4992 1856,22029 10790,"draconicevolution:wyvern_chest:0:{DEUpgrades:{rfCap:2b,shieldCap:2b,shieldRec:1b},Energy:16000000}"
Draconic Helm,Charge: 16.0M / 16.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1760 1856,22029 10793,"draconicevolution:draconic_helm:0:{Energy:16000000,DEUpgrades:{shieldRec:1b}}"
Draconic Helm,Charge: 256.0M / 256.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1760 1856,22029 10793,"draconicevolution:draconic_helm:0:{DEUpgrades:{rfCap:3b,shieldCap:3b,shieldRec:1b},Energy:256000000}"
Draconic Chestplate,Charge: 16.0M / 16.0M RF\n§b#Flight,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1600 1856,22029 10794,"draconicevolution:draconic_chest:0:{Energy:16000000,DEUpgrades:{shieldRec:1b}}"
Draconic Chestplate,Charge: 256.0M / 256.0M RF\n§b#Flight,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1600 1856,22029 10794,"draconicevolution:draconic_chest:0:{DEUpgrades:{rfCap:3b,shieldCap:3b,shieldRec:1b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1984 1856,22029 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{shieldRec:1b}}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1984 1856,22029 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:3b,moveSpeed:3b,shieldCap:3b,shieldRec:1b},Energy:256000000}"
Draconic Boots,Charge: 16.0M / 16.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1408 1856,22029 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{shieldRec:1b}}"
Draconic Boots,Charge: 256.0M / 256.0M RF,1,80439871.79957491,18062073.322974164,62377798.47660075,1198,1408 1856,22029 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:3b,jumpBoost:3b,shieldCap:3b,shieldRec:1b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 16.0M RF,1,80136952.3128951,17505763.189931255,62631189.122963846,1208,1984 1856,22020 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{moveSpeed:1b}}"
Draconic Leggings,Charge: 256.0M / 256.0M RF,1,80136952.3128951,17505763.189931255,62631189.122963846,1208,1984 1856,22020 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:3b,moveSpeed:1b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Red Matter Sledge Hammer Head,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,7840 4960,50088 50087,"tcomplement:sledge_head:0:{Material:""red_matter""}"
Red Matter Shovel Head,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,6784 6496,50030 50029,"tconstruct:shovel_head:0:{Material:""red_matter""}"
Red Matter Kama Head,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,672 5824,50034 50033,"tconstruct:kama_head:0:{Material:""red_matter""}"
Red Matter Axe Head,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,7808 5088,50032 50031,"tconstruct:axe_head:0:{Material:""red_matter""}"
Red Matter Sword Blade,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,736 6624,50050 50049,"tconstruct:sword_blade:0:{Material:""red_matter""}"
Red Matter Sharpening Kit,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,6144 6368,50020 50019,"tconstruct:sharpening_kit:0:{Material:""red_matter""}"
Red Matter Arrow Head,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,1760 5088,50066 50065,"tconstruct:arrow_head:0:{Material:""red_matter""}"
Red Matter Polishing Kit,,1,80002362.3135858,71707339.91621684,8295022.397368973,494,6496 1760,50082 50081,"conarm:polishing_kit:0:{Material:""red_matter""}"
Red Matter Pickaxe Head,,1,80002360.3135858,71707339.91621684,8295020.397368973,492,3456 6144,50026 50025,"tconstruct:pick_head:0:{Material:""red_matter""}"
Wyvern Helm,Charge: 16.0M / 16.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,5152 1856,22042 10789 22030 22039,"draconicevolution:wyvern_helm:0:{DEUpgrades:{rfCap:2b,shieldCap:2b,shieldRec:2b},Energy:16000000}"
Wyvern Helm,Charge: 2.0M / 16.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,5152 1856,22042 10789,"draconicevolution:wyvern_helm:0:{Energy:2000000,DEUpgrades:{rfCap:2b}}"
Wyvern Chestplate,Charge: 16.0M / 16.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,4992 1856,22042 10790 22030 22039,"draconicevolution:wyvern_chest:0:{DEUpgrades:{rfCap:2b,shieldCap:2b,shieldRec:2b},Energy:16000000}"
Wyvern Chestplate,Charge: 2.0M / 16.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,4992 1856,22042 10790,"draconicevolution:wyvern_chest:0:{Energy:2000000,DEUpgrades:{rfCap:2b}}"
Draconic Helm,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1760 1856,22042 10793,"draconicevolution:draconic_helm:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Helm,Charge: 16.0M / 64.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1760 1856,22042 10793,"draconicevolution:draconic_helm:0:{DEUpgrades:{rfCap:2b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Draconic Chestplate,Charge: 16.0M / 128.0M RF\n§b#Flight,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1600 1856,22042 10794,"draconicevolution:draconic_chest:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Chestplate,Charge: 256.0M / 128.0M RF\n§b#Flight,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1600 1856,22042 10794,"draconicevolution:draconic_chest:0:{DEUpgrades:{rfCap:2b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Draconic Leggings,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1984 1856,22042 10795,"draconicevolution:draconic_legs:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Leggings,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1984 1856,22042 10795,"draconicevolution:draconic_legs:0:{DEUpgrades:{rfCap:2b,moveSpeed:3b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Draconic Boots,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1408 1856,22042 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Boots,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1408 1856,22042 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:2b,jumpBoost:3b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Draconic Flux Capacitor,Charge: 64.0M / 512.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2656 1856,22042 14350 91641,"draconicevolution:draconium_capacitor:1:{Energy:64000000,DEUpgrades:{rfCap:2b}}"
Draconic Flux Capacitor,Charge: 768.0M / 512.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2656 1856,22042 91641,"draconicevolution:draconium_capacitor:1:{DEUpgrades:{rfCap:2b},Energy:768000000}"
Draconic Axe,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1280 1856,22042 22062,"draconicevolution:draconic_axe:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Axe,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1280 1856,22042 22062,"draconicevolution:draconic_axe:0:{DEUpgrades:{rfCap:2b,digSpeed:3b,digAOE:3b},Energy:256000000}"
Draconic Bow,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1504 1856,22042 22063,"draconicevolution:draconic_bow:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Bow,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1504 1856,22042 22063,"draconicevolution:draconic_bow:0:{DEUpgrades:{rfCap:2b,arrowDmg:3b,arrowSpeed:3b,drawSpeed:3b},Energy:256000000}"
Draconic Hoe,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1856 1856,22042 22065,"draconicevolution:draconic_hoe:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Hoe,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,1856 1856,22042 22065,"draconicevolution:draconic_hoe:0:{DEUpgrades:{rfCap:2b,digAOE:3b},Energy:256000000}"
Draconic Pickaxe,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2080 1856,22042 22060,"draconicevolution:draconic_pick:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Pickaxe,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2080 1856,22042 22060,"draconicevolution:draconic_pick:0:{DEUpgrades:{rfCap:2b,digSpeed:3b,digAOE:3b},Energy:256000000}"
Draconic Shovel,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2176 1856,22042 22061,"draconicevolution:draconic_shovel:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Shovel,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2176 1856,22042 22061,"draconicevolution:draconic_shovel:0:{DEUpgrades:{rfCap:2b,digSpeed:3b,digAOE:3b},Energy:256000000}"
Draconic Staff of Power,Charge: 48.0M / 384.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2304 1856,22042 22066,"draconicevolution:draconic_staff_of_power:0:{Energy:48000000,DEUpgrades:{rfCap:2b}}"
Draconic Staff of Power,Charge: 768.0M / 384.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2304 1856,22042 22066,"draconicevolution:draconic_staff_of_power:0:{DEUpgrades:{rfCap:2b,digSpeed:3b,digAOE:3b,attackDmg:3b,attackAOE:3b},Energy:768000000}"
Draconic Sword,Charge: 16.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2400 1856,22042 22064,"draconicevolution:draconic_sword:0:{Energy:16000000,DEUpgrades:{rfCap:2b}}"
Draconic Sword,Charge: 256.0M / 128.0M RF,1,79970366.28013803,23382884.978050712,56587481.30208732,1055,2400 1856,22042 22064,"draconicevolution:draconic_sword:0:{DEUpgrades:{rfCap:2b,attackDmg:3b,attackAOE:3b},Energy:256000000}"
Octuple Compressed Stone,,1,79392515.29962437,48428063,30964452.299624372,486,2304 64,22888 93532 93535,additionalcompression:stone_compressed:7
Draconic Boots,Charge: 16.0M / 16.0M RF,1,79095231.0297858,16717434.553185048,62377796.47660075,1196,1408 1856,22048 10796,"draconicevolution:draconic_boots:0:{Energy:16000000,DEUpgrades:{jumpBoost:1b}}"
Draconic Boots,Charge: 256.0M / 256.0M RF,1,79095231.0297858,16717434.553185048,62377796.47660075,1196,1408 1856,22048 10796,"draconicevolution:draconic_boots:0:{DEUpgrades:{rfCap:3b,jumpBoost:1b,shieldCap:3b,shieldRec:3b},Energy:256000000}"
Draconic Axe,Charge: 16.0M / 16.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,1280 1856,22033 22062,"draconicevolution:draconic_axe:0:{Energy:16000000,DEUpgrades:{digSpeed:2b}}"
Draconic Axe,Charge: 256.0M / 256.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,1280 1856,22033 22062,"draconicevolution:draconic_axe:0:{DEUpgrades:{rfCap:3b,digSpeed:2b,digAOE:3b},Energy:256000000}"
Draconic Pickaxe,Charge: 16.0M / 16.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,2080 1856,22033 22060,"draconicevolution:draconic_pick:0:{Energy:16000000,DEUpgrades:{digSpeed:2b}}"
Draconic Pickaxe,Charge: 256.0M / 256.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,2080 1856,22033 22060,"draconicevolution:draconic_pick:0:{DEUpgrades:{rfCap:3b,digSpeed:2b,digAOE:3b},Energy:256000000}"
Draconic Shovel,Charge: 16.0M / 16.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,2176 1856,22033 22061,"draconicevolution:draconic_shovel:0:{Energy:16000000,DEUpgrades:{digSpeed:2b}}"
Draconic Shovel,Charge: 256.0M / 256.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,2176 1856,22033 22061,"draconicevolution:draconic_shovel:0:{DEUpgrades:{rfCap:3b,digSpeed:2b,digAOE:3b},Energy:256000000}"
Draconic Staff of Power,Charge: 48.0M / 48.0M RF,1,78586020.49534507,21998539.19325775,56587481.30208732,1055,2304 1856,22033 22066,"draconicevolution:draconic_staff_of_power:0:{Energy:48000000,DEUpgrades:{digSpeed:2b}}"
