display,tooltips,purity,complexity,cost,processing,steps,imgsrc,labels,recipeIndexes,depIndexes,id
Depleted HEP-239 Nitride Fuel Pellet,,1,395004.1537444682,3718.8888888888887,391285.2648555793,225,960 1152,,10382,18269 60006,nuclearcraft:depleted_fuel_plutonium:6
HEP-239 Nitride Fuel Pellet,,1,395002.1537444682,3717.8888888888887,391284.2648555793,224,3760 1152,,59471 17411,10382,nuclearcraft:fuel_plutonium:6
Worldshaper's Looking Glass,,1,394796.15458810003,269416.925685108,125379.22890299206,295,2576 1776,,32894,,thaumictinkerer:placement_mirror:0
Depleted LEP-241 Nitride Fuel Pellet,,1,394710.04263335705,3420.7777777777774,391289.2648555793,229,832 1152,,10385,18272 60006,nuclearcraft:depleted_fuel_plutonium:10
LEP-241 Nitride Fuel Pellet,,1,394708.04263335705,3419.7777777777774,391288.2648555793,228,3616 1152,,59475 17413,10385,nuclearcraft:fuel_plutonium:10
Depleted LEP-239 Nitride Fuel Pellet,,1,394384.52411483857,3099.2592592592587,391285.2648555793,225,896 1152,,10379,18266 60006,nuclearcraft:depleted_fuel_plutonium:2
LEP-239 Nitride Fuel Pellet,,1,394382.52411483857,3098.2592592592587,391284.2648555793,224,3696 1152,,59467 17409,10379,nuclearcraft:fuel_plutonium:2
MFSU,Power Tier: 4\nOutput: 2048 EU/t Capacity: 80000000 EU\nStore: 0 EU,1,394285.2037453221,368707.4208730158,25577.782872306318,114,3552 864,,50259,50267 66412,ic2:te:75
Molten Alumina,,1,394248.68084206234,17.77777777777778,394230.9030642846,217,3440 0,🗑️,13530 911 13578 13576 13575 13580,912 8484 9208 13483 26749,fluid:alumina
Diborane,,1,394235.9370642846,5.034,394230.9030642846,217,2400 16,,13513 1329,1330 6409 6682 8437 13514 17307 17325 25456 26731 59293 59345,fluid:diborane
Boric Acid,,1,394234.4280642846,2.525,394231.9030642846,218,16 16,🗑️,13514 1015,1016 13516 13536 25460 26737,fluid:boric_acid
Plutonium-242 Nitride,,1,394071.5981889126,2788.333333333333,391283.2648555793,223,2352 1168,,18254 18281 18278 18257 18266 18272 17367 18248 18251 10173 18260 18263,7576 10152 13415 24434 29376 29403 29442 29608 29700 29739 34367 59467 59471 59475 59479 63797 65160 65500 65703,nuclearcraft:plutonium:18
Shard of Laputa,Shard Power XIX,1,393865.58954188094,281246.24583333335,112619.34370854759,249,112 224,🍾,53259,52536,botania:laputashard:18
Salted Uranium-235 Fission Bomb Core,,1,393205.7438139126,28867.333333333332,364338.4104805793,256,1696 1840,🍾,59995,59968,trinity:salted_core_u235:0
Salted Uranium-233 Fission Bomb Core,,1,392737.7438139126,28403.333333333332,364334.4104805793,252,1696 1840,🍾,59994,59967,trinity:salted_core_u233:0
Depleted MNI-241 Fuel Pellet,,1,392551.82041113486,1262.5555555555554,391289.2648555793,229,624 1152,🍾,10394,18281,nuclearcraft:depleted_fuel_mixed:6
MNI-241 Fuel Pellet,,1,392549.82041113486,1261.5555555555554,391288.2648555793,228,3440 1152,,59487 17419,10394,nuclearcraft:fuel_mixed:6
Uranium-235 Fission Bomb Core,,1,392546.07714724593,25560.666666666668,366985.41048057924,256,1472 1840,🍾,59986,59959,trinity:core_u235:0
Depleted HEU-235 Nitride Fuel Pellet,,1,392417.9315222459,1135.6666666666667,391282.26485557924,222,1168 1152,,10370,18257 60004,nuclearcraft:depleted_fuel_uranium:14
HEU-235 Nitride Fuel Pellet,,1,392415.931522246,1134.6666666666667,391281.2648555793,221,3920 1152,,17403 59455,10370,nuclearcraft:fuel_uranium:14
Depleted MNI-239 Fuel Pellet,,1,392227.3018926163,941.037037037037,391286.2648555793,226,592 1152,🍾,10391,18278,nuclearcraft:depleted_fuel_mixed:2
MNI-239 Fuel Pellet,,1,392225.3018926163,940.037037037037,391285.2648555793,225,3456 1152,,59483 17417,10391,nuclearcraft:fuel_mixed:2
Uranium-233 Fission Bomb Core,,1,392078.077147246,25096.666666666668,366981.4104805793,252,1472 1840,🍾,59985,59958,trinity:core_u233:0
Orange Tip Caterpillar,<Unknown genome>,1,391907.45990937273,9959.079930555554,381948.3799788172,312,656 720,,10588,8956 10588 29014 60506,"forestry:caterpillar_ge:0:{MaxH:20,Health:20,IsAnalyzed:0b,Genome:{Chromosomes:[{Slot:0b,UID0:""forestry.lepiAurora"",UID1:""forestry.lepiAurora""},{Slot:1b,UID0:""forestry.sizeSmaller"",UID1:""forestry.sizeSmaller""},{Slot:2b,UID0:""forestry.speedSlowest"",UID1:""forestry.speedSlowest""},{Slot:3b,UID0:""forestry.lifespanShorter"",UID1:""forestry.lifespanShorter""},{Slot:4b,UID0:""forestry.i3d"",UID1:""forestry.i3d""},{Slot:5b,UID0:""forestry.i3d"",UID1:""forestry.i3d""},{Slot:6b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},{Slot:7b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},{Slot:8b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},{Slot:9b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},{Slot:10b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},{Slot:11b,UID0:""forestry.flowersVanilla"",UID1:""forestry.flowersVanilla""},{Slot:12b,UID0:""forestry.bfNone"",UID1:""forestry.bfNone""},{Slot:13b,UID0:""forestry.cocoonDefault"",UID1:""forestry.cocoonDefault""}]}}"
Depleted LEU-235 Nitride Fuel Pellet,,1,391901.7833740978,619.5185185185185,391282.26485557924,222,1248 1152,,10367,18254 60004,nuclearcraft:depleted_fuel_uranium:10
LEU-235 Nitride Fuel Pellet,,1,391899.78337409784,618.5185185185185,391281.2648555793,221,3872 1152,,17401 59451,10367,nuclearcraft:fuel_uranium:10
Nickel Essence,,1,391692.26935058914,51,391641.26935058914,295,2368 1120,,34258 33962 33373 33553,17904 21766 21767 21768 29133 41160,mysticalagriculture:nickel_essence:0
Fluxed Electrum Essence,,1,391683.26935058914,51,391632.26935058914,288,1248 1120,,34135 33328 33414 33413,17261 21766 21767 21768,mysticalagriculture:fluxed_electrum_essence:0
Uranium-238 Nitride,,1,391640.5981889126,360.3333333333333,391280.2648555793,220,2448 1184,,17355 18254 18278 18257 18281 18248 10152 18245 18251 18260 18263,10136 24366 29372 29395 29434 29600 29692 29731 59443 59447 59451 59455 59483 59487 59829,nuclearcraft:uranium:13
Nickel Seeds,,1,391640.2693505893,234842.77343010754,156797.49592048177,294,2384 1120,,19612,10209 19778 22928 25827 33373 33553 33962 34258 41169,mysticalagriculture:nickel_seeds:0
Fluxed Electrum Seeds,,1,391631.2693505893,234840.77343010754,156790.49592048177,287,1296 1120,,19613,10209 19790 22963 25870 33328 33413 33414 34135,mysticalagriculture:fluxed_electrum_seeds:0
Molten Plutonium-239,,1,391458.7402623253,150744.05555555556,240714.6847067697,181,3152 32,🍾,2008,2007,nuclearcraft:fluid_plutonium_239:0
Uranium-235 Nitride,,1,391312.2648555793,2683,388629.2648555793,216,2608 1184,,17353 10144 18251,10135 24365 29371 29410 29449 29615 29707 29746 59451 59455,nuclearcraft:uranium:8
Lithium Manganese Dioxide Redstone Field Stabilizer,,1,391166.48755074,6953.088226996528,384213.3993237435,366,976 1184,,65728,,nuclearcraft:turbine_dynamo_coil_lithiummanganesedioxidestabilizer:0
Depleted HEB-248-Zirconium Alloy Fuel Pellet,,1,389714.686857846,44678.66666666666,345036.0201911793,229,3968 1136,,10425,18312 60009,nuclearcraft:depleted_fuel_berkelium:7
HEB-248-Zirconium Alloy Fuel Pellet,,1,389712.68685784587,44677.66666666666,345035.0201911792,228,2912 1152,,12761 59528,10425,nuclearcraft:fuel_berkelium:7
Subcritical Uranium-235 Spheres,,1,387826.4104805793,23493,364333.4104805793,251,1792 1840,,59977,59986 59995 66407,trinity:u235_pit:0
LECf-249,,1,387592.4339660289,123125.03703703701,264467.3969289919,214,1824 1168,,59529 14311,12762 17440 17441 20498,nuclearcraft:pellet_californium:0
Depleted LECf-249 Oxide Fuel Pellet,,1,387591.4339660289,123125.03703703701,264466.3969289919,213,3984 1136,,10426,18313 60010,nuclearcraft:depleted_fuel_californium:1
LECf-249 Oxide Fuel Pellet,,1,387589.4339660289,123124.03703703701,264465.3969289919,212,2928 1152,,59530 17440,10426,nuclearcraft:fuel_californium:1
Subcritical Uranium-233 Sphere,,1,387393.4511551825,23029,364364.4511551825,247,1808 1840,,59976,59985 59994 66407,trinity:u233_pit:0
Americium-241-Zirconium Alloy,,1,386817.3535245125,41790.33333333333,345027.0201911792,220,2384 1136,,12726 18276,10157 24182 29377 29415 29454 29620 29712 29751 59251,nuclearcraft:americium:4
Depleted LECm-247-Zirconium Alloy Fuel Pellet,,1,386112.13130229036,41076.111111111095,345036.0201911793,229,320 1152,,10416,18303 60008,nuclearcraft:depleted_fuel_curium:19
LECm-247-Zirconium Alloy Fuel Pellet,,1,386110.13130229025,41075.111111111095,345035.0201911792,228,3248 1152,,12758 59516,10416,nuclearcraft:fuel_curium:19
Hot Carbon Dioxide,,1,385992.2297656735,1474.625,384517.6047656735,220,112 32,🍾,1598,1597,contenttweaker:hot_carbon_dioxide:0
Hot Carbon Dioxide,,1,385097.5422656735,579.9375,384517.6047656735,220,1616 2080,🍾,1056,1055,nuclearcraft:fluid_carbon_dioxide_hot:0
Molten HEA-242,,1,384995.6690123253,76841.27777777777,308154.39123454754,204,3568 16,🍾,1500,1499,nuclearcraft:fluid_hea_242:0
Liquid Purple Slime,,1,384912,151178,233734,8,3504 32,🍾,2060,2059,tconstruct:purpleslime:0
Hot Carbon Dioxide,,1,384518.0783906735,1.473625,384516.6047656735,219,112 32,,8473 1597,1598 5981 7050 9235,fluid:hot_carbon_dioxide
Hot Carbon Dioxide,,1,384517.18370317353,0.5789375,384516.6047656735,219,1616 2080,🗑️,8431 1055 6676,1056 7035,fluid:carbon_dioxide_hot
LECf-251,,1,384119.58211417706,119658.18518518517,264461.3969289919,208,1856 1168,,59537 14313,12764 17444 17445 20500,nuclearcraft:pellet_californium:4
Depleted LECf-251 Oxide Fuel Pellet,,1,384118.58211417706,119658.18518518517,264460.3969289919,207,144 1152,,10432,18319 60010,nuclearcraft:depleted_fuel_californium:9
LECf-251 Oxide Fuel Pellet,,1,384116.58211417706,119657.18518518517,264459.3969289919,206,3104 1152,,59538 17444,10432,nuclearcraft:fuel_californium:9
Depleted HECm-245-Zirconium Alloy Fuel Pellet,,1,384108.0201911793,39071.99999999999,345036.0201911793,229,240 1152,,10413,18300 60008,nuclearcraft:depleted_fuel_curium:15
HECm-245-Zirconium Alloy Fuel Pellet,,1,384106.0201911792,39070.99999999999,345035.0201911792,228,3200 1152,,12757 59512,10413,nuclearcraft:fuel_curium:15
Lithium Manganese Dioxide Alloy Ingot,,1,383218.56946263235,1627.170138888889,381591.3993237435,351,2096 1136,🗑️,12702 24032,12812 25429 26699 59259 65728,nuclearcraft:alloy:4
§e4k§r Crafting Storage,,1,383050.84082062216,112412.86769230769,270637.9731283145,293,2048 96,,51721,,appliedenergistics2:crafting_storage_4k:0
Depleted LEB-248-Zirconium Alloy Fuel Pellet,,1,381763.87204303115,36727.85185185185,345036.0201911793,229,3888 1136,,10422,18309 60009,nuclearcraft:depleted_fuel_berkelium:3
LEB-248-Zirconium Alloy Fuel Pellet,,1,381761.87204303103,36726.85185185185,345035.0201911792,228,2864 1152,,12760 59524,10422,nuclearcraft:fuel_berkelium:3
Shard of Laputa,Shard Power XVIII,1,381363.52704188094,268745.18333333335,112618.34370854759,248,112 224,🍾,52636,53259,botania:laputashard:17
Storage Tablet,,1,381257.3218740978,48152.740740740745,333104.5811333571,263,928 1344,🍾,55854,55828,rftools:storage_module_tablet:2
Elektron60-Alloy Ingot,,1,381127.5508608221,6300.75,374826.8008608221,235,3376 512,🗑️,12778 63695 15960 15606 27305 24050,12873 64981 65693 65694 65695 65696 65697 65701 65712 65713 65714,contenttweaker:elektron60_ingot:0
Curium-243-Zirconium Alloy,,1,380368.3535245125,35341.33333333333,345027.0201911792,220,3584 1136,,12729 18270 18288 18350,10166 24440 29417 29456 29622 29714 29753 59500 59504,nuclearcraft:curium:4
Uranium-234,,1,379509.3252970475,69510,309999.3252970475,208,2512 1248,,10197 29475 29581,6086 10200 29420 29459 29476 29583 29625 29717 29756 65714,qmd:isotope:4
Plutonium-238,,1,379507.32529704744,69509,309998.32529704744,207,2176 1168,,24431 14271 25328 25338 25346 25358 25362 29536 29492 29644 29669 29660,5964 10197 12722 17360 17361 20458 29394 29433 29478 29584 29599 29691 29730 59250,nuclearcraft:plutonium:0
Plutonium-238 Oxide,,1,379505.32529704744,69508,309997.32529704744,206,2384 1168,,18262 17360,24431 29394 29433 29599 29691 29730 59250,nuclearcraft:plutonium:2
Silicon Carbide Fiber,,1,378645.54928087513,242.20000000000002,378403.3492808751,385,1584 1168,🗑️,7279 17488 29291,5810 17914 20182,nuclearcraft:part:13
Rock Crystal Seeds,,1,378543.7163505893,232617.72043010753,145925.99592048177,268,2752 1120,,19617,10209 19816 22828 25945 33306 33417 33418 34128,mysticalagriculture:rock_crystal_seeds:0
Pollen Collection Kit,,1,377889.1893658885,200385.80333656832,177503.3860293202,144,288 768,,63528,,gendustry:pollen_kit:0
Californium-252,,1,377819.7302623252,113360.33333333331,264459.3969289919,206,2800 1136,,24643 59210 14287,10196 12738 17392 17393 20474 29392 29431 29597 29689 29728 59203 59275 59529 59533 59537 59541,nuclearcraft:californium:15
Californium-252 Oxide,,1,377817.7302623252,113359.33333333331,264458.3969289919,205,2816 1136,,18310 17392 18319 18313 18322 18316,10196 24643 29392 29431 29597 29689 29728 59275 59530 59534 59538 59542,nuclearcraft:californium:17
Berkelium-247-Zirconium Alloy,,1,377778.3535245125,32751.33333333333,345027.0201911792,220,2528 1136,,12733 18309 18273 18291 18294 18297 18288 18306 18300 18303 18350,10182 24543 29399 29438 29604 29696 29735 59524 59528 65708,nuclearcraft:berkelium:4
Wireless Pattern Terminal,,1,377745.60357407096,150578.02275641024,227167.58081766072,317,2528 112,,64755,,appliedenergistics2:wireless_pattern_terminal:0
Liquid DNA,,1,377257.16729826166,2320.524375,374936.6429232617,302,176 2000,🍾,1818,1817,gendustry:liquiddna:0
§916³§r Spatial Storage Cell,,1,377075.36003774614,163023.24102564104,214052.11901210507,258,2336 112,,64726 63269,,appliedenergistics2:spatial_storage_cell_16_cubed:0
/dank/null/MK V,,1,376944.1377704144,353474.67251602566,23469.46525438873,144,3008 528,,57738,57739 64028,danknull:dank_null_4:0
Solidified Corium,,1,376810.70811679726,12575.293645833333,364235.41447096394,243,3440 1168,🍾,14319,20549,nuclearcraft:solidified_corium:0
Thermoconducting Alloy Ingot,,1,376803.12020109984,4438.571319444444,372364.5488816554,241,2016 1136,🗑️,12705 24047,12845 15594 15602 15603 15955 24015 59299 59385 59831 59941 65736,nuclearcraft:alloy:11
Carbon Dioxide,,1,376479.98250872904,158.875,376321.10750872904,217,288 16,🍾,1052,1051,nuclearcraft:fluid_carbon_dioxide:0
Knightmetal Essence,,1,376462.8496839225,51,376411.8496839225,285,1824 1120,,34222 33781 33893 33718,17260 21766 21767 21768 37504,mysticalagriculture:knightmetal_essence:0
Knightmetal Seeds,,1,376410.84968392266,219743.02043010754,156667.8292538151,284,1840 1120,,19595,10209 19806 22808 25819 33718 33781 33893 34222 37505,mysticalagriculture:knightmetal_seeds:0
Carbon Dioxide,,1,376320.265383729,0.157875,376320.10750872904,216,288 16,🗑️,13547 1051 7050 5981 13617 6003,1052 5821 6676 8431 8473 13548 17301 17319 25450 26724 59287 59339,fluid:carbon_dioxide
Reactor Stabilizer Outer Rotor,,1,376001.491183515,54156.38125,321845.109933515,349,3584 560,,65000,58503,draconicevolution:reactor_part:2
Americium-242-Zirconium Alloy,,1,375628.68685784587,30601.66666666666,345027.0201911792,220,2464 1136,,12727 18267 18276 18270,24183 29396 29435 29601 29693 29732 59492 59496,nuclearcraft:americium:9
Advanced Alloy Turbine,,1,375434.90109861747,208843.7855352564,166591.11556336106,264,80 96,,64651,,advgenerators:turbine_adv_alloy:0
Po-Be Fission Neutron Source,,1,375327.622772246,10996.212291666667,364331.41048057936,249,2624 1152,,59274,,nuclearcraft:fission_source:1
Liquid DNA,,1,374937.9624476367,2.319524375,374935.6429232617,301,1616 32,,8956 1817 8954 8955 8959 8958 8957 25909 8953,1818,fluid:liquiddna
64k ME Gas Storage Component,,1,374640.31065099395,191076.2083333333,183564.10231766067,216,1072 96,,52356,52358 63260 64713,aeadditions:storage.component:10
Chemical Reactor,§bHouses reactions between fluids.,1,374294.7741753957,79005.45279761904,295289.3213777767,207,3008 1136,,65759,13513 13514 13515 13516 13517 13518 13519 13520 13521 13522 13523 13524 13525 13526 13527 13528 13529 13530 13531 13532 13533 13534 13535 13536 13537 13538 13539 13540 13541 13542 13543 13544 13545 13546 13547 13548 13549 13550 13551 13552 13553 13554 13555 13556 13557 13558 13559 13560 13561 13562 13563 13564 13565 13566 13567 13568 13569 13570 13571 13572 13573 13574 13575 13576 13577 13578 13579 13580 13581 13582 13583 13584 13585 13586 13587 13588 13589 13590 13591 13592 13593 13594 13595 13596 13597 13598 13599 13600 13601 13602 13603 13604 13605 13606 13607 13608 13609 13610 13611 13612 13613 13614 13615 13616 13617 13618 13619 13620 59803,nuclearcraft:chemical_reactor:0
Depleted LECm-245-Zirconium Alloy Fuel Pellet,,1,374288.3164874756,29252.296296296292,345036.0201911793,229,192 1152,,10410,18297 60008,nuclearcraft:depleted_fuel_curium:11
LECm-245-Zirconium Alloy Fuel Pellet,,1,374286.3164874755,29251.296296296292,345035.0201911792,228,3168 1152,,12756 59508,10410,nuclearcraft:fuel_curium:11
Plutonium-239-Zirconium Alloy,,1,373625.3535245125,28597.333333333336,345028.0201911792,221,2496 1168,,12723 18255 10162 10166,10145 24432 29374 29413 29452 29618 29710 29749 59468 59472 59484,nuclearcraft:plutonium:9
Iron Fluoride,,1,373493.73746129265,2615.5,370878.23746129265,369,3344 2096,,17465 17464,63784,qmd:chemical_dust:8
Ender Amethyst Essence,,1,373402.918557992,51,373351.918557992,271,976 1120,,34115 33253 34102 33252,17881 21766 21767 21768 29110 38924,mysticalagriculture:ender_amethyst_essence:0
Ender Amethyst Seeds,,1,373350.91855799215,227422.92263751038,145927.99592048177,270,1008 1120,,19615,10209 19818 22818 25932 33252 33253 34102 34115 38925,mysticalagriculture:ender_amethyst_seeds:0
Depleted HECm-243-Zirconium Alloy Fuel Pellet,,1,373042.1313022904,28009.111111111106,345033.0201911793,226,480 1152,,10407,18294 60008,nuclearcraft:depleted_fuel_curium:7
HECm-243-Zirconium Alloy Fuel Pellet,,1,373040.1313022903,28008.111111111106,345032.0201911792,225,3392 1152,,12755 59504,10407,nuclearcraft:fuel_curium:7
Potassium Fluoride Solution,,1,372623.6213435548,233.73273273273273,372389.8886108221,223,3264 32,🍾,2032,2031,nuclearcraft:fluid_potassium_fluoride_solution:0
Potassium Fluoride Solution,,1,372389.1213435548,0.23273273273273273,372388.8886108221,222,3264 32,🗑️,9190 2031 13553 13563 13566 13572,2032 7267 13535,fluid:potassium_fluoride_solution
Wireless Crafting Terminal,Stored Energy§r: §r§d0§r§7/§r§d1.6M§r §r§eAE§r (§r§c0%§r)§r\nAppEng.GuiITooltip.Unlinked,1,372236.1035740709,145069.52275641024,227166.58081766067,316,2496 112,,64753,,appliedenergistics2:wireless_crafting_terminal:0
Lithium Deuteride,,1,372086.4692452313,32195,339891.4692452313,230,1440 1840,,17473,59956 65664,trinity:compound_lithium_deuteride:0
Neptunium-237 Block,,1,372015.3252970475,62022.999999999985,309992.3252970475,201,1664 1152,,59198,6392 59205,nuclearcraft:fertile_isotope:1
Experience Solidifier,,1,371819.9729401871,347665.2065277778,24154.76641240933,144,3472 48,,64576,206 608,actuallyadditions:block_xp_solidifier:0
Saturated Phosphor,,1,371455.9210536041,1349.7064048721338,370106.214648732,298,3600 512,,10042 10521 17476 29309,12518 22752 33213,contenttweaker:saturated_phosphor:0
Magnesium Chunk,,1,371293.9342082103,237430.89979344732,133863.034414763,280,1232 944,,34308,22215 24199 33168 36816,jaopca:item_chunkmagnesium:0
Hot Fluorine,,1,370967.35321823705,1340.5000000000002,369626.85321823705,387,1904 2080,🍾,1438,1437,nuclearcraft:fluid_fluorine_hot:0
Molten HEU-233,,1,370858.4986149487,17159.179012345678,353699.31960260303,211,4080 16,🍾,1570,1569,nuclearcraft:fluid_heu_233:0
Depleted LECm-243-Zirconium Alloy Fuel Pellet,,1,370597.686857846,25564.66666666666,345033.0201911793,226,400 1152,,10404,18291 60008,nuclearcraft:depleted_fuel_curium:3
LECm-243-Zirconium Alloy Fuel Pellet,,1,370595.68685784587,25563.66666666666,345032.0201911792,225,3312 1152,,12754 59500,10404,nuclearcraft:fuel_curium:3
Liquid Neon,,1,370518.67530200793,17513.5,353005.17530200793,219,1728 32,🍾,1804,1803,qmd:fluid_liquid_neon:0
ME Extended Processing Pattern Terminal,,1,370400.3603048402,143242.77948717948,227157.58081766072,307,688 112,🍾,51709,51984,appliedenergistics2:part:341
§e4k§r ME Storage Cell,§a0§r §r§7of§r §r§d4096§r §r§7Bytes Used§r\n§a0§r §r§7of§r §r§d63§r §r§7Types§r\nPress R to view contents,1,370217.05154284433,85444.13435897436,284772.91718387,289,2400 112,,64729 63272,,appliedenergistics2:storage_cell_4k:0
Matter Cannon,Stored Energy§r: §r§d0§r§7/§r§d200k§r §r§eAE§r (§r§c0%§r)§r\n§a0§r §r§7of§r §r§d512§r §r§7Bytes Used§r\n§a0§r §r§7of§r §r§d1§r §r§7Types§r\nPress R to view contents,1,369755.397391135,88597.27634615384,281158.1210449811,303,3424 96,,51888,,appliedenergistics2:matter_cannon:0
Color Applicator - Empty,Stored Energy§r: §r§d0§r§7/§r§d20k§r §r§eAE§r (§r§c0%§r)§r\n§a0§r §r§7of§r §r§d512§r §r§7Bytes Used§r\n§a0§r §r§7of§r §r§d27§r §r§7Types§r\nPress R to view contents,1,369653.397391135,88495.27634615384,281158.1210449811,303,1936 96,,51928,,appliedenergistics2:color_applicator:0
Hot Fluorine,,1,369627.19271823706,1.3395000000000001,369625.85321823705,386,1904 2080,🗑️,8429 1437 6674,1438 7033,fluid:fluorine_hot
Samarium Ingot,,1,369558.52779437654,6892.333333333332,362666.1944610432,235,1056 2096,,14225 15920,18051 18724 20448 26520 59277 65692,nuclearcraft:alloy:18
Curium-246-Zirconium Alloy,,1,369368.3535245125,24341.33333333333,345027.0201911792,220,3456 1136,,12731 18285 18276 18291 18297 18303 18288 18294 18273 18267 18300 10191,10174 24442 29401 29440 29606 29698 29737 59500 59504 59508 59512 59516 59520 65706,nuclearcraft:curium:14
Shard of Laputa,Shard Power XVII,1,368861.46454188094,256244.12083333335,112617.34370854759,247,112 224,🍾,53289,52636,botania:laputashard:16
§cSupremium Seed Reprocessor,,1,367415.7092237717,309405.2833333333,58010.42589043838,217,3648 1120,🍾,54151,54150,mysticalagriculture:supremium_reprocessor:0
Liquid Argon,,1,367216.17530200793,14211,353005.17530200793,219,1632 32,🍾,1792,1791,qmd:fluid_liquid_argon:0
Polonium-Beryllium Neutron Initiator,,1,367176.4104805793,2844,364332.4104805793,250,1616 1840,,59954,59976 59977 59978 59979 59980 59981 59982 59983 59984,trinity:neutron_initiator:0
Polonium Dust,,1,366884.4511551825,2525,364359.4511551825,242,1840 1152,,6085 7291 18334 18357 18335 18358 18336 18359 29643 18332 18355 18331 18354 18333 18356 18330 18353 18329 18352 29647 29344 29662 18328 29580,10125 20518 29398 29437 29603 29695 29734 59274 59954,nuclearcraft:fission_dust:2
Compressed Garbage Pile,,1,366734.9,366415.60000000003,319.3,17,3088 512,,63487,17812 63488 66017,contenttweaker:compressed_garbage_pile:0
Ra-Be Fission Neutron Source,,1,366133.16745974595,8730.545625,357402.6218347459,220,2640 1152,,59273,,nuclearcraft:fission_source:0
TBU,,1,366089.8654805793,2522,363567.8654805793,223,2160 1168,,10126 14288,12739 17394 17395 20475 65698,nuclearcraft:pellet_thorium:0
Spawn Castle Guardian [NYI],,1,366032.50934206246,221411.94722222222,144620.56211984024,280,2464 1072,🍾,12306,27819,"minecraft:spawn_egg:0:{EntityTag:{id:""twilightforest:castle_guardian""}}"
Triple Compressed Lapis Lazuli,,1,365625.3,365320,305.3,14,3872 64,🍾,60809,60808,additionalcompression:gemlapis_compressed:2
Emerald Chunk,,1,365222.9342082103,231358.89979344732,133864.034414763,281,1072 944,,34328,22208 24381 33204 36836,jaopca:item_chunkemerald:0
Titanium Clump,,1,364990.9331293483,18758.951417675686,346231.9817116726,363,1744 944,,13669 13698,14901 15305,jaopca:item_clumptitanium:0
Bound Dislocator (Point to Point),,1,364079.0728074466,55324.18301282051,308754.8897946261,349,2080 544,,63440,,draconicevolution:dislocator_bound:1
Depleted HEA-242-Zirconium Alloy Fuel Pellet,,1,362986.3535245126,17956.33333333333,345030.0201911793,223,3840 1136,,10401,18288 60007,nuclearcraft:depleted_fuel_americium:7
HEA-242-Zirconium Alloy Fuel Pellet,,1,362984.3535245125,17955.33333333333,345029.0201911792,222,2816 1152,,12753 59496,10401,nuclearcraft:fuel_americium:7
Compressed Dimensional,,1,362311.70907780156,66,362245.70907780156,249,3040 512,,16064,10964 10965 10967 10993 10997 11004 11007,contenttweaker:compressed_dimensional:0
Hot Helium,,1,362213.68818395236,1017.0156250000001,361196.67255895236,217,2112 2080,🍾,1550,1549,nuclearcraft:fluid_helium_hot:0
Fluix Essence,,1,362087.79635058925,51,362036.79635058925,283,1216 1120,,34201 33704 33724 33776,13314 21766 21767 21768,mysticalagriculture:fluix_essence:0
Fluix Seeds,,1,362035.7963505893,204654.6870967742,157381.1092538151,282,1200 1120,,19596,10209 19822 22897 25851 33704 33724 33776 34201,mysticalagriculture:fluix_seeds:0
Fluorine,,1,361883.5909612927,1680,360203.5909612927,368,3168 16,🍾,1434,1433,nuclearcraft:fluid_fluorine:0
Calcium Sulfate Solution,,1,361477.4335248736,40.73873873873874,361436.6947861348,216,176 16,🗑️,9188 1037 13533,1038 7265,fluid:calcium_sulfate_solution
Borax Solution,,1,361475.95604739606,35.26126126126126,361440.6947861348,220,0 16,🗑️,9193 1013 13536,1014 7270,fluid:borax_solution
Satellite,,1,361450.99235144095,228513.917813721,132937.07453771995,281,3184 80,,51605 6477,6477,advancedrocketry:satellite:0
Neptunium-236-Zirconium Alloy,,1,361305.3535245125,16277.333333333332,345028.0201911792,221,1216 1168,,12720 18258 18246,24302 29418 29457 29623 29715 29754 59460 59464,nuclearcraft:neptunium:4
Hot Helium,,1,361196.68857457733,1.016015625,361195.67255895236,216,2112 2080,🗑️,8427 1549 6672,1550 7031,fluid:helium_hot
Depleted HEP-239-Zirconium Alloy Fuel Pellet,,1,360739.35352451255,15708.333333333334,345031.02019117924,224,976 1152,,10383,18270 60006,nuclearcraft:depleted_fuel_plutonium:7
HEP-239-Zirconium Alloy Fuel Pellet,,1,360737.3535245125,15707.333333333334,345030.0201911792,223,3744 1152,,12747 59472,10383,nuclearcraft:fuel_plutonium:7
Molten LEU-233,,1,360620.84429396107,6921.524691358023,353699.31960260303,211,1504 32,🍾,1774,1773,nuclearcraft:fluid_leu_233:0
